 "Manzana","Zona"
"1973","zona 8 a pie"
"1063","zona 1"
"1064","zona 1"
"1065","zona 1"
"1066","zona 1"
"1067","zona 1"
"1068","zona 1"
"1069","zona 1"
"1070","zona 1"
"1071","zona 1"
"1072","zona 1"
"1073","zona 1"
"1074","zona 1"
"1075","zona 1"
"1077","zona 1"
"1078","zona 1"
"1079","zona 1"
"1080","zona 1"
"343","zona 1"
"344","zona 1"
"345","zona 1"
"346","zona 1"
"347","zona 1"
"348","zona 1"
"349","zona 1"
"350","zona 1"
"351","zona 1"
"352","zona 1"
"353","zona 1"
"354","zona 1"
"355","zona 1"
"356","zona 1"
"357","zona 1"
"358","zona 1"
"359","zona 1"
"420","zona 1"
"421","zona 1"
"422","zona 1"
"423","zona 1"
"424","zona 1"
"425","zona 1"
"426","zona 1"
"427","zona 1"
"428","zona 1"
"429","zona 1"
"430","zona 1"
"431","zona 1"
"432","zona 1"
"433","zona 1"
"434","zona 1"
"435","zona 1"
"436","zona 1"
"437","zona 1"
"438","zona 1"
"508","zona 1"
"509","zona 1"
"510","zona 1"
"511","zona 1"
"512","zona 1"
"513","zona 1"
"514","zona 1"
"515","zona 1"
"516","zona 1"
"517","zona 1"
"518","zona 1"
"519","zona 1"
"520","zona 1"
"521","zona 1"
"522","zona 1"
"523","zona 1"
"524","zona 1"
"525","zona 1"
"603","zona 1"
"604","zona 1"
"605","zona 1"
"606","zona 1"
"607","zona 1"
"608","zona 1"
"609","zona 1"
"610","zona 1"
"611","zona 1"
"612","zona 1"
"613","zona 1"
"614","zona 1"
"615","zona 1"
"616","zona 1"
"617","zona 1"
"618","zona 1"
"619","zona 1"
"620","zona 1"
"706","zona 1"
"707","zona 1"
"708","zona 1"
"709","zona 1"
"710","zona 1"
"711","zona 1"
"712","zona 1"
"713","zona 1"
"714","zona 1"
"715","zona 1"
"716","zona 1"
"717","zona 1"
"719","zona 1"
"720","zona 1"
"721","zona 1"
"722","zona 1"
"723","zona 1"
"7771","zona 8 a pie"
"817","zona 1"
"818","zona 1"
"819","zona 1"
"820","zona 1"
"821","zona 1"
"822","zona 1"
"823","zona 1"
"824","zona 1"
"825","zona 1"
"826","zona 1"
"827","zona 1"
"828","zona 1"
"829","zona 1"
"831","zona 1"
"832","zona 1"
"833","zona 1"
"936","zona 1"
"937","zona 1"
"938","zona 1"
"939","zona 1"
"940","zona 1"
"941","zona 1"
"942","zona 1"
"943","zona 1"
"944","zona 1"
"945","zona 1"
"946","zona 1"
"947","zona 1"
"948","zona 1"
"949","zona 1"
"950","zona 1"
"951","zona 1"
"952","zona 1"
"953","zona 1"
"1029","zona 3"
"1030","zona 3"
"1031","zona 3"
"1032","zona 3"
"1162","zona 3"
"1163","zona 3"
"1164","zona 3"
"1165","zona 3"
"1303","zona 3"
"1304","zona 3"
"1305","zona 3"
"1306","zona 3"
"1452","zona 3"
"1453","zona 3"
"1454","zona 3"
"1455","zona 3"
"1609","zona 3"
"1610","zona 3"
"1611","zona 3"
"1612","zona 3"
"1774","zona 3"
"1775","zona 3"
"1776","zona 3"
"1777","zona 3"
"1947","zona 3"
"1948","zona 3"
"1949","zona 3"
"1950","zona 3"
"2128","zona 3"
"2129","zona 3"
"2130","zona 3"
"2131","zona 3"
"2317","zona 3"
"2318","zona 3"
"2319","zona 3"
"2320","zona 3"
"2514","zona 3"
"2515","zona 3"
"2516","zona 3"
"2517","zona 3"
"2719","zona 3"
"2720","zona 3"
"2721","zona 3"
"2722","zona 3"
"2932","zona 3"
"2933","zona 3"
"2934","zona 3"
"2935","zona 3"
"3153","zona 3"
"3154","zona 3"
"485","zona 3"
"486","zona 3"
"487","zona 3"
"578","zona 3"
"579","zona 3"
"580","zona 3"
"678","zona 3"
"679","zona 3"
"680","zona 3"
"681","zona 3"
"787","zona 3"
"788","zona 3"
"789","zona 3"
"790","zona 3"
"904","zona 3"
"905","zona 3"
"906","zona 3"
"907","zona 3"
"1046","zona 4"
"1047","zona 4"
"1048","zona 4"
"1049","zona 4"
"1179","zona 4"
"1180","zona 4"
"1181","zona 4"
"1182","zona 4"
"1320","zona 4"
"1321","zona 4"
"1322","zona 4"
"1323","zona 4"
"1469","zona 4"
"1470","zona 4"
"1471","zona 4"
"1472","zona 4"
"1625","zona 4"
"1627","zona 4"
"1628","zona 4"
"1629","zona 4"
"1791","zona 4"
"1792","zona 4"
"1793","zona 4"
"1794","zona 4"
"1964","zona 4"
"1965","zona 4"
"1966","zona 4"
"1967","zona 4"
"2144","zona 4"
"2145","zona 4"
"2146","zona 4"
"2147","zona 4"
"2334","zona 4"
"2335","zona 4"
"2336","zona 4"
"2337","zona 4"
"501","zona 2"
"502","zona 2"
"503","zona 2"
"504","zona 2"
"594","zona 2"
"595","zona 2"
